Time,Va,Ia,Za,Ra,Xa,Vb,Ib,Zb,Rb,Xb,Vc,Ic,Zc,Rc,Xc
0.057,-25265.9450129175,-151.136222300635,40.76829239777,20.1012479704551,-35.4682040010534,18451.046857442,29.727404077204,845.981353687784,NaN,NaN,6814.89814099005,121.408818223431,40.6002261008774,-36.8350910095087,-17.0749650003618
0.058,-21792.568953305,49.9230355758992,40.7683054947543,20.1015204775974,-35.4680646131467,7146.29547383607,38.8745412782299,845.9822419381,NaN,NaN,14646.2734634016,-88.7975768541291,40.6002552583242,-36.8350027110601,-17.0752248101534
0.059,-16185.9406891449,246.093338265872,40.7684040593338,20.1017992308696,-35.4680199225573,-4858.03775961659,44.2191146673748,845.983433510545,NaN,NaN,21043.9784327063,-290.312452933247,40.6003593937041,-36.8349995461069,-17.0754792417738
0.06,-8994.86549635041,418.172094664261,40.7685654332562,20.1020570699037,-35.4680592793576,-16386.8987227757,45.2379185822357,845.984748810515,NaN,NaN,25381.7642046596,-463.410013246497,40.6005156591177,-36.8350682556212,-17.0757025738324
0.061,-923.268697872136,549.314887498737,40.768765557832,20.1022713197495,-35.4681678818719,-26311.7513370713,41.831280538862,845.986032411795,NaN,NaN,27235.0200235045,-591.146168037599,40.6007026013842,-36.8351923468476,-17.0758793769687
0.062,7238.73769608748,626.684458213205,40.7689785605142,20.1024268243903,-35.4683245817687,-33661.0688130584,34.3326921996351,845.987192270569,NaN,NaN,26422.3311096871,-661.017150412841,40.6008996366785,-36.8353536656184,-17.0759998722318
0.063,14692.2122289251,642.707320015995,40.7691819287292,20.1025191212328,-35.4685060316655,-37715.458870534,23.4761024030688,845.988055853158,NaN,NaN,23023.2466392047,-666.183422419064,40.6010846535852,-36.8355298276832,-17.0760597727183
0.064,20707.5625386938,595.814978582477,40.7693579919881,20.1025490163045,-35.4686914634014,-38078.0614328926,10.3241930419074,845.988417923563,NaN,NaN,17370.498896927,-606.139171624385,40.6012408192402,-36.8357006064022,-17.0760626872073
0.065,24695.952475187,490.597470660073,40.7694923195902,20.1025212372631,-35.4688616099038,-34713.3723781769,-3.83558655665598,845.988186823149,NaN,NaN,10017.4199105862,-486.761884103418,40.6013586498201,-36.8358520355611,-17.0760161930577
0.066,26266.9670817709,337.354168395498,40.769578131855,20.1024479798953,-35.4690017658382,-27950.7395349954,-17.617158117037,845.987334229001,NaN,NaN,1683.77246496314,-319.737010278461,40.6014321740697,-36.8359725193841,-17.075931105997
0.067,25266.8351614838,151.085587639448,40.769616434094,20.1023445057401,-35.4691044368995,-18452.1458735279,-29.6715456911942,845.98587392936,NaN,NaN,-6814.68927321736,-121.414041948254,40.6014604348247,-36.8360540121759,-17.0758225058911
0.068,21793.4584832642,-49.9750603272034,40.7696101308769,20.1022248430811,-35.4691650110616,-7147.39021737386,-38.8188143167657,845.983939363525,NaN,NaN,-14646.0682495861,88.7938746439691,40.6014477594627,-36.8360947470353,-17.0757044935725
