Time,Va,Ia,Za,Ra,Xa,Vb,Ib,Zb,Rb,Xb,Vc,Ic,Zc,Rc,Xc
0.047,25266.80375,151.1082466,40.77126095,20.10370226,-35.47022519,-18452.17566,-29.67037058,845.9764908,NaN,NaN,-6814.628073,-121.437876,40.60291194,-36.83718936,-17.0768246
0.048,21793.42834,-49.9542277,40.77123681,20.10309977,-35.47053891,-7147.421934,-38.81760855,845.9776512,NaN,NaN,-14646.00639,88.77183625,40.60284804,-36.83738072,-17.07625985
0.049,16186.80944,-246.1274598,40.77102243,20.10248022,-35.47064362,4856.911659,-44.16229016,845.9787486,NaN,NaN,-21043.72108,290.28975,40.6026246,-36.83738886,-17.075711
0.05,8995.741258,-418.2089336,40.77066476,20.10190609,-35.47055789,16385.77701,-45.18119013,845.9795978,NaN,NaN,-25381.51825,463.3901237,40.60228381,-36.83723856,-17.07522493
0.051,924.1423036,-549.3542557,40.77021968,20.10142694,-35.47031784,26310.63574,-41.77465302,845.9800676,NaN,NaN,-27234.77803,591.1289087,40.60187295,-36.83696477,-17.07483859
0.052,-7237.86309,-626.7261274,40.76974336,20.10107393,-35.46997041,33659.95557,-34.27618752,845.9802954,NaN,NaN,-26422.09247,661.002315,40.60144561,-36.83661489,-17.07457727
0.053,-14691.32934,-642.7510825,40.76928581,20.10086237,-35.46956439,37714.34635,-23.41972571,845.980379,NaN,NaN,-23023.01701,666.1708082,40.60104565,-36.83623438,-17.07444711
0.054,-20706.67684,-595.8606936,40.76888953,20.10079392,-35.46914769,38076.95325,-10.2679326,845.980397,NaN,NaN,-17370.27641,606.1286262,40.60070449,-36.83586075,-17.07444194
0.055,-24695.0707,-490.6449937,40.76858375,20.10085322,-35.4687626,34712.26997,3.891726692,845.9804884,NaN,NaN,-10017.19928,486.753267,40.60044714,-36.83552917,-17.07454533
0.056,-26266.0834,-337.4033193,40.76838308,20.10101445,-35.46844059,27949.6395,17.67315907,845.9807881,NaN,NaN,-1683.556104,319.7301602,40.60028761,-36.835268,-17.07472943
0.057,-25265.94501,-151.1362223,40.7682924,20.10124797,-35.468204,18451.04686,29.72740408,845.9813537,NaN,NaN,6814.898141,121.4088182,40.6002261,-36.83509101,-17.074965
0.058,-21792.56895,49.92303558,40.76830549,20.10152048,-35.46806461,7146.295474,38.87454128,845.9822419,NaN,NaN,14646.27346,-88.79757685,40.60025526,-36.83500271,-17.07522481
0.059,-16185.94069,246.0933383,40.76840406,20.10179923,-35.46801992,-4858.03776,44.21911467,845.9834335,NaN,NaN,21043.97843,-290.3124529,40.60035939,-36.83499955,-17.07547924
0.06,-8994.865496,418.1720947,40.76856543,20.10205707,-35.46805928,-16386.89872,45.23791858,845.9847488,NaN,NaN,25381.7642,-463.4100132,40.60051566,-36.83506826,-17.07570257
0.061,-923.2686979,549.3148875,40.76876556,20.10227132,-35.46816788,-26311.75134,41.83128054,845.9860324,NaN,NaN,27235.02002,-591.146168,40.6007026,-36.83519235,-17.07587938
0.062,7238.737696,626.6844582,40.76897856,20.10242682,-35.46832458,-33661.06881,34.3326922,845.9871923,NaN,NaN,26422.33111,-661.0171504,40.60089964,-36.83535367,-17.07599987
0.063,14692.21223,642.70732,40.76918193,20.10251912,-35.46850603,-37715.45887,23.4761024,845.9880559,NaN,NaN,23023.24664,-666.1834224,40.60108465,-36.83552983,-17.07605977
0.064,20707.56254,595.8149786,40.76935799,20.10254902,-35.46869146,-38078.06143,10.32419304,845.9884179,NaN,NaN,17370.4989,-606.1391716,40.60124082,-36.83570061,-17.07606269
0.065,24695.95248,490.5974707,40.76949232,20.10252124,-35.46886161,-34713.37238,-3.835586557,845.9881868,NaN,NaN,10017.41991,-486.7618841,40.60135865,-36.83585204,-17.07601619
0.066,26266.96708,337.3541684,40.76957813,20.10244798,-35.46900177,-27950.73953,-17.61715812,845.9873342,NaN,NaN,1683.772465,-319.7370103,40.60143217,-36.83597252,-17.07593111
0.067,25266.83516,151.0855876,40.76961643,20.10234451,-35.46910444,-18452.14587,-29.67154569,845.9858739,NaN,NaN,-6814.689273,-121.4140419,40.60146043,-36.83605401,-17.07582251
0.068,21793.45848,-49.97506033,40.76961013,20.10222484,-35.46916501,-7147.390217,-38.81881432,845.9839394,NaN,NaN,-14646.06825,88.79387464,40.60144776,-36.83609475,-17.07570449
0.069,16186.82606,-246.146637,40.76956544,20.10210351,-35.46918241,4856.94849,-44.16352251,845.9817125,NaN,NaN,-21043.77454,290.3101595,40.60140061,-36.8360966,-17.07558838
0.07,8995.753515,-418.2265283,40.76949393,20.101993,-35.46916284,16385.81184,-45.18247752,845.9793518,NaN,NaN,-25381.56534,463.4090058,40.60132846,-36.8360648,-17.07548543
0.071,924.1608563,-549.3703609,40.76940725,20.10190137,-35.46911514,26310.66573,-41.7759926,845.9770918,NaN,NaN,-27234.82657,591.1463535,40.60124296,-36.83600812,-17.07540441
0.072,-7237.848497,-626.7409064,40.76931577,20.10183528,-35.46904744,33659.98741,-34.27754695,845.9752308,NaN,NaN,-26422.13891,661.0184534,40.60115376,-36.83593531,-17.07534938
0.073,-14691.32645,-642.7646471,40.76922999,20.10179842,-35.46896973,37714.38266,-23.42110272,845.9739751,NaN,NaN,-23023.05621,666.1857498,40.60106921,-36.83585489,-17.07532183
0.074,-20706.67393,-595.8730813,40.76915721,20.1017883,-35.46889182,38076.98762,-10.26935298,845.9734411,NaN,NaN,-17370.31369,606.1424343,40.60099753,-36.83577649,-17.07532051
0.075,-24695.06219,-490.6562894,40.76910159,20.10180078,-35.46882081,34712.30007,3.890266003,845.973725,NaN,NaN,-10017.23789,486.7660234,40.60094384,-36.83570768,-17.07534131
0.076,-26266.08094,-337.4136539,40.76906698,20.10183214,-35.46876325,27949.67136,17.67168664,845.9748366,NaN,NaN,-1683.590433,319.7419673,40.60091025,-36.83565296,-17.07537948
